Make,Model,Consumer Guide Recommendation,CLASS,Low Price,High Price,City Miles/Gallon,Highway Miles/Gallon,Horse Power,Wheel Base,Length,Front Head Room,Front Leg Room,Basic Warranty - Years,Basic Warranty - Miles
Isuzu,VehiCross,no,compact sport-utility vehicle,28900,28900,15,19,215,91.8,162.6,38.2,43.1,3,50000
Jaguar,S-Type,Recommended,luxury car,42500,48000,17,23,281,114.5,191.3,38.6,43.1,4,50000
Jaguar,XJ Sedan,no,luxury car,55650,80650,16,22,370,113,197.8,37.2,41.2,4,50000
Jaguar,XK8,no,luxury car,66200,81800,16,23,370,101.9,187.4,37,43,4,50000
Jeep,Cherokee,Budget Buy,midsize sport-utility vehicle,16680,25365,18,24,190,101.4,167.5,37.7,41.4,3,36000
Jeep,Grand Cherokee,no,midsize sport-utility vehicle,26725,34540,15,20,235,105.9,181.5,39.7,41.4,3,36000
Jeep,Wrangler,Budget Buy,compact sport-utility vehicle,14460,20545,16,19,181,93.4,155.4,42.3,41.1,3,36000
Kia,Sephia,no,subcompact car,9995,12750,24,31,125,100.8,174.4,39.6,43.3,3,36000
Kia,Sportage,no,compact sport-utility vehicle,13995,19595,19,23,130,104.4,159.4,39.6,44.5,3,36000
Land Rover,Discovery,no,midsize sport-utility vehicle,34150,34150,13,17,188,100,185.2,40.4,42.3,4,50000
Land Rover,Range Rover,no,full-size sport-utility vehicle,59000,67300,13,15,222,108.1,185.5,38.1,42.6,4,50000
Lexus,ES 300,Recommended,near-luxury car,31405,31405,19,26,210,105.1,190.2,38,43.5,4,50000
Lexus,GS 300/400,Recommended,luxury car,37605,46005,17,24,300,110.2,189.2,39,44.5,4,50000
Lexus,LS 400,Best Buy,luxury car,53805,53805,18,25,290,112.2,196.7,38.9,43.7,4,50000
Lexus,LX 470,no,full-size sport-utility vehicle,59005,59005,13,16,230,112.2,192.5,40,42.3,4,50000
Lexus,RX 300,Best Buy,midsize sport-utility vehicle,32505,33905,19,24,220,103,180.1,39.5,40.7,4,50000
Lexus,SC 300/400,no,luxury car,43405,55905,18,25,290,105.9,192.5,38.3,44.1,4,50000
Lincoln,Continental,no,luxury car,38880,38880,17,25,275,109,208.5,39.2,41.9,4,50000
Lincoln,LS,no,near-luxury car,30915,34690,17,23,252,114.5,193.9,40.4,42.6,4,50000
Lincoln,Navigator,no,full-size sport-utility vehicle,42460,46210,13,18,300,119,204.8,39.8,40.9,4,50000
Lincoln,Town Car,no,luxury car,38630,43130,17,24,200,117.7,215.3,39.2,42.6,4,50000
Mazda,626,Best Buy,compact car,18245,22445,21,27,170,105.1,187.4,39.2,43.6,3,50000
Mazda,B-Series,Best Buy,compact pickup truck,11495,23640,17,22,160,111.6,187.5,39.2,42.4,3,50000
Mazda,MPV,no,minivan,19995,25550,18,23,170,111.8,187,41,40.8,3,50000
Mazda,Miata,Best Buy,sports and GT car,21245,23995,25,29,140,89.2,155.3,37.1,42.7,3,50000
Mazda,Millenia,no,near-luxury car,24995,29995,20,27,170,108.3,189.8,39.3,43.3,3,50000
Mazda,Protege,Recommended,subcompact car,11970,15040,26,30,122,102.8,174,39.3,42.2,3,50000
Mercedes-Benz,C-Class,no,near-luxury car,31750,53000,18,23,302,105.9,177.4,37.2,41.5,4,50000
Mercedes-Benz,CLK,Recommended,luxury car,41600,55600,18,25,275,105.9,180.2,36.9,41.9,4,50000
Mercedes-Benz,E-Class,Best Buy,luxury car,47100,69800,16,23,349,111.5,189.4,37.6,41.3,4,50000
Mercedes-Benz,M-Class,Best Buy,midsize sport-utility vehicle,35300,64900,14,18,342,111,180.6,39.8,40.3,4,50000
Mercedes-Benz,S-Class/CL500,no,luxury car,69700,77850,16,23,302,113.6,196.6,36.9,41.7,4,50000
Mercedes-Benz,SL-Class,no,luxury car,82600,128950,13,19,389,99,177.1,37.1,42.4,4,50000
Mercedes-Benz,SLK230,Recommended,sports and GT car,41000,41000,21,31,185,94.5,157.3,37.4,42.7,4,50000
Mercury,Cougar,no,sports coupe,16445,16945,19,28,170,106.4,185,37.8,42.5,3,36000
Mercury,Grand Marquis,no,full-size car,22415,25135,17,24,200,114.7,212,39.4,42.5,3,36000
Mercury,Mountaineer,Recommended,midsize sport-utility vehicle,27370,29835,14,19,215,111.6,190.7,39.9,42.4,3,36000
Mercury,Mystique,no,compact car,16145,17445,19,28,170,106.5,184.6,39,42.4,3,36000
Mercury,Sable,no,midsize car,18845,22345,19,28,153,108.5,197.7,39.3,42.2,3,36000
Mercury,Villager,no,minivan,22415,27115,17,24,170,112.2,194.7,39.7,39.9,3,36000
Mitsubishi,Diamante,no,near-luxury car,24997,27897,18,24,210,107.1,194.1,39.4,43.6,3,36000
Mitsubishi,Eclipse,no,sports coupe,17697,21187,20,28,205,100.8,175.4,37.9,42.3,3,36000
Mitsubishi,Galant,Recommended,compact car,17357,23757,20,27,195,103.7,187.8,39.9,43.5,3,36000
Mitsubishi,Mirage,no,subcompact car,11757,16947,28,36,113,95.1,168.1,38.6,43,3,36000
Mitsubishi,Montero,no,full-size sport-utility vehicle,31807,31807,16,19,200,107.3,186.6,40.9,40.3,3,36000
Mitsubishi,Montero Sport,no,midsize sport-utility vehicle,22527,31357,17,20,200,107.3,178.3,38.9,42.8,3,36000
Nissan,Altima,Recommended,compact car,15140,20390,23,30,155,103.1,185.8,39.4,42,3,36000
Nissan,Frontier,Recommended,compact pickup truck,11590,22240,16,19,170,104.3,184.3,39.3,40.9,3,36000
Nissan,Maxima,Recommended,midsize car,21049,26249,22,28,222,108.3,190.5,40.4,44.8,3,36000
Nissan,Pathfinder,no,midsize sport-utility vehicle,26399,31299,17,19,170,106.3,182.7,39.5,41.7,3,36000
Nissan,Quest,no,minivan,22259,26699,17,24,170,112.2,194.8,39.7,39.9,3,36000
Nissan,Sentra,no,subcompact car,11799,15999,23,31,140,99.8,171,39.1,42.3,3,36000
Nissan,Xterra,Recommended,midsize sport-utility vehicle,17599,25799,16,18,170,104.3,178,38.6,41.4,3,36000
Oldsmobile,Alero,Recommended,compact car,16005,21545,20,32,170,107,186.7,38.4,42.2,3,36000
Oldsmobile,Bravada,no,midsize sport-utility vehicle,31498,31498,16,20,190,107,183.7,39.6,42.4,3,36000
Oldsmobile,Intrigue,Recommended,midsize car,22210,25840,19,27,215,109,195.9,39.3,42.4,3,36000
Oldsmobile,Silhouette,no,minivan,25195,31595,19,26,185,120,201.4,39.9,39.9,3,36000
Plymouth,Breeze,Budget Buy,midsize car,15910,15910,21,30,150,108,186.7,38.1,42.3,3,36000
Plymouth,Prowler,no,sports and GT car,42800,42800,17,23,253,113.3,165.3,37.4,42.9,3,36000
Pontiac,Bonneville,no,full-size car,23680,31635,17,28,240,112.2,202.6,38.7,42.6,3,36000
Pontiac,Firebird,no,sports and GT car,18590,30950,16,26,320,101.1,193.3,37.2,43,3,36000
Pontiac,Grand Am,no,compact car,16040,21470,20,32,170,107,186.3,38.3,42.1,3,36000
Pontiac,Grand Prix,Recommended,midsize car,19935,24430,18,28,240,110.5,196.5,38.3,42.4,3,36000
Pontiac,Montana,no,minivan,23425,24535,19,26,185,112,187.3,39.9,39.9,3,36000
Pontiac,Sunfire,no,subcompact car,14005,21745,23,33,150,104.1,181.8,38.9,42.1,3,36000
Porsche,911,no,sports and GT car,65590,83820,17,25,300,92.6,174.5,38,41.6,4,50000
Porsche,Boxster,no,sports and GT car,41430,49930,18,26,250,95.2,171,38.4,41.6,4,50000
Saab,93,no,near-luxury car,25900,44995,19,27,185,102.6,182.3,38.9,42.3,4,50000
Saab,95,no,luxury car,32575,39775,18,26,200,106.4,189.2,38.7,42.4,4,50000
Saturn,L-Series,no,midsize car,15010,21360,20,26,182,106.5,190.4,39.3,42.2,3,36000
Saturn,S-Series,no,subcompact car,10685,16005,27,38,124,102.4,178.1,39.3,42.5,3,36000
Subaru,Forester,Best Buy,compact sport-utility vehicle,20095,22595,21,27,165,99.4,175.2,40.6,43,3,36000
Subaru,Impreza,no,subcompact car,15895,19295,21,28,165,99.2,172.2,39.2,43.1,3,36000
